instruction,intent,key,group,split
i dont know wgat i need to do to sign up to the newsletter,newsletter_subscription,i dont know wgat i need to do to sign up to the newsletter,i dont know wgat i need to do to sign up to the newsletter,train
I want help cancelling my newsletter subscription,newsletter_subscription,i want help cancelling my newsletter subscription,i want help cancelling my newsletter subscription,train
I want assistance to sign up to the newsletter,newsletter_subscription,i want assistance to sign up to the newsletter,i want assistance to sign up to the newsletter,train
I want help receiving the corporate newsletter,newsletter_subscription,i want help receiving the corporate newsletter,i want help receiving the corporate newsletter,train
i need help to cancel my corporate newsletter subscription,newsletter_subscription,i need help to cancel my corporate newsletter subscription,i need help to cancel my corporate newsletter subscription,train
could ya help me to unsubscribe from ur company newsletter,newsletter_subscription,could ya help me to unsubscribe from ur company newsletter,could ya help me to unsubscribe from ur company newsletter,train
can you help me subscribe to your newsletter?,newsletter_subscription,can you help me subscribe to your newsletter?,can you help me subscribe to your newsletter,train
I need help to sign up to your company newsletter,newsletter_subscription,i need help to sign up to your company newsletter,i need help to sign up to your company newsletter,train
can you help me receiving your fucking corporate newslettee?,newsletter_subscription,can you help me receiving your fucking corporate newslettee?,can you help me receiving your fucking corporate newslettee,train
"I have to subscribe to the newsletter, help me",newsletter_subscription,"i have to subscribe to the newsletter, help me",i have to subscribe to the newsletter help me,train
how do I sign up to the corporate newsletter?,newsletter_subscription,how do i sign up to the corporate newsletter?,how do i sign up to the corporate newsletter,train
"I want to receive the company newsletter, how could I do it?",newsletter_subscription,"i want to receive the company newsletter, how could i do it?",i want to receive the company newsletter how could i do it,train
"I want to sign up to the corporate newsletter, how to do it?",newsletter_subscription,"i want to sign up to the corporate newsletter, how to do it?",i want to sign up to the corporate newsletter how to do it,train
i need assistane unsubscribing to ur corporate newsletter,newsletter_subscription,i need assistane unsubscribing to ur corporate newsletter,i need assistane unsubscribing to ur corporate newsletter,train
could you help me unsubscribe from the corporate newsletter?,newsletter_subscription,could you help me unsubscribe from the corporate newsletter?,could you help me unsubscribe from the corporate newsletter,train
where do I cancel my corporate newsletter subscription?,newsletter_subscription,where do i cancel my corporate newsletter subscription?,where do i cancel my corporate newsletter subscription,train
could you help me unsubscribe from your bloody newsletter?,newsletter_subscription,could you help me unsubscribe from your bloody newsletter?,could you help me unsubscribe from your bloody newsletter,train
is it possible to subscribe to your corporate newsletter?,newsletter_subscription,is it possible to subscribe to your corporate newsletter?,is it possible to subscribe to your corporate newsletter,train
need help to unsubscribe from your corporate newsletter,newsletter_subscription,need help to unsubscribe from your corporate newsletter,need help to unsubscribe from your corporate newsletter,train
receive company newsletter,newsletter_subscription,receive company newsletter,receive company newsletter,train
tell me about cancel the corporate newsletter subscription,newsletter_subscription,tell me about cancel the corporate newsletter subscription,tell me about cancel the corporate newsletter subscription,train
